family,schedule,date,J_plan,J_rev,J_emerg,J,e_kWh,a_up_kWh
pt,none,2025-05-04,31946.455757709813,0.0,18209.586088386124,50156.04184609593,4136.116613888891,0.0
pt,none,2025-05-05,33454.47940096076,0.0,22654.925570143052,56109.40497110381,5769.538249305554,0.0
pt,none,2025-05-06,29065.016384050305,0.0,35301.84539603749,64366.8617800878,8390.67560243055,0.0
pt,none,2025-05-07,31191.93495226778,0.0,32458.993620003122,63650.9285722709,7843.868787847223,0.0
pt,none,2025-05-08,34939.13393974159,0.0,13364.320827957463,48303.45476769905,3055.0841486111112,0.0
pt,none,2025-05-09,13274.71773706595,0.0,9015.07255284618,22289.790289912133,1902.4494364583334,0.0
pt,none,2025-05-10,13318.784242563888,0.0,12952.184821739236,26270.969064303124,3118.027060763889,0.0
pt,none,2025-05-11,33822.14143712901,0.0,15770.757323835584,49592.89876096459,3597.313382291665,0.0
pt,none,2025-05-12,30149.00871265416,0.0,25512.794143014064,55661.802855668226,6477.243902430556,0.0
pt,none,2025-05-13,34780.52526782069,0.0,13833.088070898946,48613.61333871963,3021.66534097222,0.0
pt,none,2025-05-14,34640.626595091,0.0,10845.697110343925,45486.32370543493,2778.468434375,0.0
pt,none,2025-05-15,34385.74106962362,0.0,13222.106651347569,47607.847720971185,3823.1109552083326,0.0
pt,none,2025-05-16,13272.591569025968,0.0,8010.237998691664,21282.829567717632,2078.956196180555,0.0
pt,none,2025-05-17,13228.131157104825,0.0,9830.94918239913,23059.080339503955,2376.204143402778,0.0
pt,none,2025-05-18,35810.017581799926,0.0,4748.352144903646,40558.369726703575,1288.7517972222233,0.0
pt,none,2025-05-19,31993.104644547577,0.0,10357.794709546524,42350.8993540941,2297.736777777777,0.0
pt,none,2025-05-20,31953.13828662751,0.0,25157.748700159034,57110.88698678654,6402.582232291667,0.0
pt,none,2025-05-21,30604.654185669977,0.0,23078.55999511024,53683.21418078022,5772.63092326389,0.0
pt,none,2025-05-22,32166.152232775952,0.0,17468.64504559877,49634.797278374725,4967.068970486106,0.0
pt,none,2025-05-23,12825.100358615833,0.0,11831.075301064931,24656.175659680765,2685.9606458333337,0.0
pt,none,2025-05-24,13514.88966343868,0.0,9073.195731719617,22588.085395158298,2154.8429774305555,0.0
pt,none,2025-05-25,32188.657427389262,0.0,11625.599868021523,43814.25729541079,2526.2924267361104,0.0
pt,none,2025-05-26,31553.712923113453,0.0,27634.056465309368,59187.76938842282,7320.619894791665,0.0
pt,none,2025-05-27,30503.55794877616,0.0,17518.93969508715,48022.49764386331,4502.850049652777,0.0
pt,none,2025-05-28,33539.27747167915,0.0,9283.183005781591,42822.460477460736,2320.526373958332,0.0
pt,none,2025-05-29,32999.6759140333,0.0,19516.519846136453,52516.19576016975,4748.532666319441,0.0
pt,none,2025-05-30,13324.444609594728,0.0,5264.006656957118,18588.451266551845,1283.6567819444442,0.0
pt,none,2025-05-31,14593.586821927463,0.0,4329.024042627949,18922.610864555412,1178.2342694444433,0.0
pt,none,2025-06-01,42705.38170288688,0.0,26876.49147925659,69581.87318214346,6696.396354166666,0.0
pt,none,2025-06-02,43538.194383675196,0.0,29180.678322576045,72718.87270625125,7362.062307291668,0.0
pt,none,2025-06-03,39421.15760896633,0.0,35245.36896634879,74666.52657531512,8663.502362500001,0.0
pt,none,2025-06-04,46335.807320181964,0.0,25060.35896671563,71396.1662868976,6492.706342013888,0.0
pt,none,2025-06-05,38874.58549472381,0.0,42980.618851672916,81855.20434639673,10685.655287152775,0.0
pt,none,2025-06-06,15283.391672993333,0.0,37336.758071422555,52620.14974441589,9369.504885416665,0.0
pt,none,2025-06-07,15303.538448624495,0.0,30530.593313949994,45834.131762574485,7262.047417013888,0.0
pt,none,2025-06-08,42180.57972535989,0.0,21136.43341828889,63317.01314364877,5126.1455503472225,0.0
pt,none,2025-06-09,48575.25303480965,0.0,8020.98622054808,56596.23925535773,2063.474999999998,0.0
pt,none,2025-06-10,44352.153883836596,0.0,16742.165354222572,61094.319238059164,4338.386371527779,0.0
pt,none,2025-06-11,48857.24537459138,0.0,16257.81446270868,65115.05983730006,4204.8875548611095,0.0
pt,none,2025-06-12,47088.081125233206,0.0,11782.657032734714,58870.73815796792,2960.024157638887,0.0
pt,none,2025-06-13,18644.255338276114,0.0,10879.396536376387,29523.651874652503,2754.7149663194436,0.0
pt,none,2025-06-14,18760.057585764964,0.0,6592.644514574817,25352.702100339782,1776.7271694444426,0.0
pt,none,2025-06-15,43672.03341296814,0.0,23767.606742696888,67439.64015566502,6150.65934166667,0.0
pt,none,2025-06-16,45743.94865996836,0.0,17868.6821831368,63612.63084310516,4522.46911597222,0.0
pt,none,2025-06-17,46500.97210296344,0.0,19750.78427581024,66251.75637877369,4629.029414583332,0.0
pt,none,2025-06-18,46979.49121749478,0.0,8747.932779999304,55727.42399749409,2024.4366579861114,0.0
pt,none,2025-06-19,43852.77961578075,0.0,18460.478872620813,62313.25848840157,4452.54126006944,0.0
pt,none,2025-06-20,18806.859685340874,0.0,4800.445008424298,23607.304693765174,1354.0826760416649,0.0
pt,none,2025-06-21,18430.4370370149,0.0,7928.819045908849,26359.25608292375,1966.2664524305546,0.0
pt,none,2025-06-22,42084.472881586764,0.0,17528.179621718045,59612.65250330481,4191.306677777775,0.0
pt,none,2025-06-23,43922.499031723106,0.0,13449.942245539223,57372.44127726233,3617.2240461805523,0.0
pt,none,2025-06-24,51394.80411604481,0.0,6664.12656921527,58058.930685260086,1743.5197656249984,0.0
pt,none,2025-06-25,44166.86018904258,0.0,21274.286029423085,65441.14621846566,4969.810719097222,0.0
pt,none,2025-06-26,43372.00998001198,0.0,18737.9489978915,62109.95897790348,5044.8060079861125,0.0
pt,none,2025-06-27,18909.22241316975,0.0,6537.061404376211,25446.283817545962,2044.7868076388872,0.0
pt,none,2025-06-28,18119.12445604257,0.0,6708.702697596177,24827.827153638747,1753.4439052083326,0.0
pt,none,2025-06-29,41530.39593690989,0.0,30898.14385723368,72428.53979414357,7857.880720486111,0.0
pt,none,2025-06-30,45855.367800781954,0.0,10543.865697007286,56399.23349778924,2820.913652430554,0.0
pt,none,2025-07-01,39696.798729950766,0.0,66477.42158984269,106174.22031979346,17932.548098263887,0.0
pt,none,2025-07-02,37794.21206243971,0.0,59599.486261592014,97393.69832403172,16140.029938194442,0.0
pt,none,2025-07-03,42534.32177102707,0.0,56559.00849431596,99093.33026534303,14992.609338888888,0.0
pt,none,2025-07-04,16451.940997065383,0.0,62269.127856272746,78721.06885333813,15684.643317708333,0.0
pt,none,2025-07-05,16971.749952726146,0.0,59275.47991803421,76247.22987076035,14883.989187152778,0.0
pt,none,2025-07-06,39153.81374358249,0.0,81272.73923486892,120426.55297845141,20622.862749999997,0.0
pt,none,2025-07-07,39136.27257306197,0.0,52065.81530815729,91202.08788121925,13664.356988541665,0.0
pt,none,2025-07-08,49807.209776542004,0.0,16029.697105933503,65836.90688247551,3913.0311927083326,0.0
pt,none,2025-07-09,49408.474486313964,0.0,11619.550613372221,61028.02509968619,2700.879959722222,0.0
pt,none,2025-07-10,46135.254243012925,0.0,19050.59165007638,65185.84589308931,4820.925196180553,0.0
pt,none,2025-07-11,24003.15505071962,0.0,9759.529336443395,33762.68438716301,2534.1199996527757,0.0
pt,none,2025-07-12,22761.101901069404,0.0,22529.8802000163,45290.982101085705,5479.477163888882,0.0
pt,none,2025-07-13,49997.63586525927,0.0,6622.033752874477,56619.66961813375,1703.3339253472218,0.0
pt,none,2025-07-14,45798.112762584,0.0,19881.31941468663,65679.43217727063,4444.144908333334,0.0
pt,none,2025-07-15,48667.611491499374,0.0,9330.949244591158,57998.560736090534,2256.978320138891,0.0
pt,none,2025-07-16,47483.37329342734,0.0,18365.970428188702,65849.34372161605,5276.934237152775,0.0
pt,none,2025-07-17,45661.89559399538,0.0,25170.54727303003,70832.44286702541,6173.702932291667,0.0
pt,none,2025-07-18,24238.954690921906,0.0,7864.686551936107,32103.641242858015,1901.2394076388885,0.0
pt,none,2025-07-19,24733.21807600801,0.0,6886.211019384718,31619.429095392727,1755.998424305555,0.0
pt,none,2025-07-20,48242.20531150893,0.0,11154.372679561799,59396.57799107073,2826.2906267361086,0.0
pt,none,2025-07-21,49914.715633017404,0.0,6907.690356953119,56822.405989970524,1821.7535618055547,0.0
pt,none,2025-07-22,47279.633420225495,0.0,15360.498770996166,62640.13219122166,4273.4665739583315,0.0
pt,none,2025-07-23,54360.088752072894,0.0,5040.30515979948,59400.39391187237,1206.1134958333334,0.0
pt,none,2025-07-24,53662.860761101634,0.0,3668.8540498637176,57331.71481096535,1024.374052430556,0.0
pt,none,2025-07-25,22956.489539529648,0.0,9015.123974885935,31971.613514415585,2221.1459350694436,0.0
pt,none,2025-07-26,23031.94164762695,0.0,7221.74082431979,30253.68247194674,1862.0434628472221,0.0
pt,none,2025-07-27,47766.26757232465,0.0,20455.00530545207,68221.27287777672,4953.9766249999975,0.0
pt,none,2025-07-28,49499.9903592364,0.0,17588.00206256962,67087.99242180602,4337.492128125001,0.0
pt,none,2025-07-29,48707.40952251691,0.0,18166.85750302273,66874.26702553964,4446.99036006944,0.0
pt,none,2025-07-30,44823.477677886105,0.0,32216.613767564057,77040.09144545016,8297.917814236109,0.0
pt,none,2025-07-31,46584.99962638361,0.0,22918.28736417777,69503.28699056138,5615.762248263887,0.0
pt,none,2025-08-01,23419.171541426236,0.0,4664.004211112325,28083.175752538562,1299.7644548611113,0.0
pt,none,2025-08-02,24053.32963254216,0.0,3765.9344928413193,27819.26412538348,852.8955798611112,0.0
pt,none,2025-08-03,41366.93244172939,0.0,15520.771264152278,56887.703705881664,3734.500292708339,0.0
pt,none,2025-08-04,44724.19171663722,0.0,10693.103281225349,55417.29499786257,2580.152129513889,0.0
pt,none,2025-08-05,43462.030566761,0.0,14493.596139527948,57955.62670628895,4010.8091197916674,0.0
pt,none,2025-08-06,48831.58974221253,0.0,9864.495253169443,58696.08499538197,2431.4020652777763,0.0
pt,none,2025-08-07,47663.238326177365,0.0,6763.6069556451375,54426.845281822505,1782.2362472222221,0.0
pt,none,2025-08-08,22946.343526463468,0.0,5379.070823024132,28325.4143494876,1297.359599305555,0.0
pt,none,2025-08-09,22838.165690890695,0.0,4131.524646368057,26969.69033725875,1130.5691520833336,0.0
