policy,date,J_plan,J_emerg,J,e_kWh
point,2025-12-31,58767.26415179645,9542.895085802265,68310.15923759871,2456.4790259009624
nostorage_a85,2025-02-01,37494.12940566822,510.1831500782055,38004.31255574643,106.04686408293003
nostorage_a85,2025-02-02,70756.21007540781,108.58332765624908,70864.79340306406,30.85222916666646
nostorage_a85,2025-02-03,69702.63687822371,327.46498653970895,70030.10186476342,89.54351192847531
nostorage_a85,2025-02-04,69965.44375525317,1609.7381425873614,71575.18189784054,436.4465163719325
nostorage_a85,2025-02-05,69642.06954771662,617.9091083841577,70259.97865610078,169.86341681543945
nostorage_a85,2025-02-06,70387.79232857109,170.21256047448307,70558.00488904557,50.437116891378196
nostorage_a85,2025-02-07,36699.75436925911,316.2931298880169,37016.04749914713,56.4655859305243
nostorage_a85,2025-02-08,35182.2795530649,586.374965541586,35768.65451860649,107.41295267641732
nostorage_a85,2025-02-09,66523.28333845007,2670.062397152676,69193.34573560275,824.0392024962765
nostorage_a85,2025-02-10,67231.22321549524,321.9139985150911,67553.13721401033,86.67579222324468
nostorage_a85,2025-02-11,65508.72044347369,602.0918178047689,66110.81226127846,108.35664611124685
nostorage_a85,2025-02-12,65143.42878645168,875.8448232380051,66019.27360968968,204.87840834816157
nostorage_a85,2025-02-13,64800.65080812808,811.9277844046298,65612.5785925327,171.11745014507625
nostorage_a85,2025-02-14,33473.84485242097,1011.2847953715223,34485.12964779249,258.0374374350642
nostorage_a85,2025-02-15,33110.535104689596,1504.6118754747731,34615.14698016437,400.3356909578062
